品类,小类,功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
智能网关,智能网关,子设备列表,我有哪些网关子设备,列举网关子设备,查看网关子设备列表,我的网关子设备,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
环境净化,智能香薰机,显示喷香启停,喷香开着呢吗？,喷香是开是关呢,喷香状态,喷香启动了吗,喷香呢,有木有在喷香香,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,显示定时开关时间,香薰机定时开关时间,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,显示香水浓度,香水浓度是多少,香水浓度,香水多浓,香水浓么,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,显示香水剩余,香水还剩多少,香水剩余多少,香水余量,香水剩余,香水剩多少,香水还有多少,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,香薰机开关,香薰机开,香薰机关,打开香薰机,开开香薰机,开香薰机,启动香薰机,开始喷香香,喷香香,喷香,关闭香熏机,停止喷香,关上香薰机,关香薰机,闭掉香薰机,停掉香薰机,不要喷香香了,不要喷香香了,别喷香了,停止熏香,闭空净,毙空净,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"调整香水浓度(1,10)","香水浓度调整为(1,10)","香水浓度设置为(1,10)","香水浓度设为(1,10)","香水浓度调为(1,10)","香水浓度调成(1,10)","香水浓度调整为(1,10)","香水浓度调到(1,10)","香水浓度增加到(1,10)","香水浓度减到(1,10)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,授时,授时,时间校准,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,定时HH:MM开关,设置香薰机(HH:MM)开,设置香薰机(HH:MM)关,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,空气净化器,显示开关状态,空气净化器的开关状态,空气净化器开着呢么,空气净化器是开是关呢,空净关着呢么,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,显示当前PM2.5,当前PM2.5,当前PM2.5是多少,当前PM2.5值为多少,现在有雾霾吗,现在雾霾严重吗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,显示当前温度,当前温度,当前温度是多少,现在多少度,现在几度,现下是几度,现下多少度,现在有多少度,现在有几度,这会儿多少度,这会儿几度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
